x,RT,40deg,60deg,65deg,67deg,69deg,72deg,75deg,80deg
1.93503,7.73234,7.73234,6.95167,6.05948,6.12261,6.05948,6.05948,6.05948,5.94796
1.97925,7.80396,7.77881,7.13755,6.39405,6.39616,6.28253,6.39405,6.28253,6.171
2.14728,8.07612,7.95539,7.84387,7.56313,7.43565,7.48327,7.50651,7.46914,7.41315
2.17381,8.1191,7.99257,7.95539,7.74772,7.59978,7.67286,7.68216,7.65651,7.60928
2.20034,8.16207,8.02974,8.08199,7.93232,7.76391,7.86245,7.85781,7.84387,7.80541
2.23129,8.2122,8.07311,8.22968,8.14767,7.95539,8.08364,8.06273,8.07596,8.03423
2.23571,8.21936,8.07931,8.25078,8.17844,7.98953,8.11524,8.09201,8.10911,8.06691
2.24456,8.23369,8.0917,8.29298,8.25279,8.05781,8.17844,8.15056,8.17542,8.14564
2.33299,8.37693,8.21561,8.71496,8.99628,8.74061,8.85434,8.73606,8.83854,8.93287
2.33741,8.38409,8.22181,8.73606,9.03346,8.77475,8.88814,8.77715,8.8717,8.97223
2.36395,8.42707,8.25898,8.90663,9.25651,8.97959,9.09091,9.02367,9.07063,9.2084
2.38605,8.46288,8.28996,9.04876,9.44238,9.15029,9.25989,9.22911,9.28419,9.4052
2.39048,8.47004,8.29845,9.07719,9.47955,9.18443,9.29368,9.2702,9.3269,9.44457
2.41701,8.51301,8.34936,9.24776,9.7026,9.38927,9.53532,9.51673,9.58317,9.68073
2.44796,8.59108,8.40876,9.44675,9.96283,9.62825,9.81722,9.80434,9.88215,9.95627
2.46122,8.62454,8.43422,9.53204,10.0743,9.76567,9.93804,9.92761,10.0103,10.0743
2.50102,8.62454,8.51059,9.78789,10.4089,10.1779,10.3005,10.2974,10.3947,10.5364
2.50544,8.62454,8.51907,9.81631,10.4461,10.2237,10.3408,10.3459,10.4374,10.5877
2.54966,8.73606,8.60393,10.1006,10.8178,10.6818,10.7435,10.8308,10.8645,11.1011
2.56293,8.77323,8.62938,10.1859,10.9294,10.8192,10.8749,10.9762,10.9926,11.2551
2.57177,8.79802,8.64636,10.2082,11.0037,10.9108,10.9626,11.0732,11.0781,11.3578
2.58946,8.84758,8.6803,10.2528,11.1524,11.094,11.1378,11.2672,11.282,11.5631
2.59388,8.85874,8.68878,10.2639,11.1896,11.1398,11.1816,11.3157,11.333,11.6144
2.60272,8.88104,8.70575,10.2862,11.2619,11.2314,11.2693,11.4126,11.4349,11.7171
2.60714,8.89219,8.71424,10.2974,11.2981,11.2772,11.3131,11.4628,11.4859,11.7685
2.63367,8.95911,8.76515,10.5204,11.5151,11.552,11.5759,11.7639,11.7918,12.0765
2.64694,8.99257,8.79061,10.632,11.6236,11.6895,11.7074,11.9145,11.9448,12.2305
2.67347,9.05948,8.84152,10.8327,11.8407,11.9643,11.9703,12.2156,12.2507,12.5385
2.67789,9.07063,8.85001,10.8662,11.8768,12.0101,12.0139,12.2658,12.3016,12.5898
2.69116,9.10409,8.87546,10.9665,11.9853,12.1475,12.1448,12.4164,12.4546,12.7438
2.69558,9.11524,8.88395,11.0037,12.0215,12.1933,12.1885,12.4651,12.5056,12.7952
2.72211,9.18216,8.93486,11.2268,12.2385,12.4764,12.4503,12.7579,12.8115,13.1032
2.72653,9.19455,8.94335,11.2639,12.2747,12.5236,12.4939,12.8067,12.8625,13.1545
2.73095,9.20694,8.95183,11.3011,12.3109,12.5708,12.5376,12.8555,12.9182,13.2059
2.7398,9.23172,8.96881,11.368,12.3832,12.6651,12.6249,12.9531,13.0297,13.3086
2.75748,9.28129,9.00275,11.5019,12.5279,12.8539,12.7994,13.1482,13.2528,13.5458
2.7619,9.29368,9.01123,11.5353,12.5457,12.9011,12.8431,13.197,13.3086,13.6052
2.77517,9.29368,9.03669,11.6357,12.5993,13.0426,12.974,13.3742,13.4758,13.7831
2.78844,9.29368,9.06215,11.7472,12.6528,13.1842,13.1035,13.5513,13.6431,13.9611
2.79286,9.29368,9.07063,11.7844,12.6706,13.2313,13.1467,13.6103,13.7018,14.0204
2.80612,9.29368,9.10648,11.8959,12.7242,13.3729,13.2762,13.7874,13.8779,14.1984
2.81054,9.30483,9.11843,11.9331,12.742,13.4201,13.3193,13.8465,13.9366,14.2577
2.81497,9.31599,9.13038,11.9703,12.7599,13.4535,13.3625,13.9055,13.9953,14.317
2.83707,9.37175,9.19012,12.1671,12.8491,13.6208,13.5784,14.2007,14.2888,14.6136
2.85034,9.4052,9.22597,12.2852,12.9026,13.7212,13.7079,14.3569,14.4649,14.7916
2.85476,9.41636,9.23792,12.3245,12.9204,13.7546,13.751,14.4089,14.5236,14.8509
2.86803,9.44981,9.27377,12.4426,12.974,13.8155,13.8806,14.5651,14.6997,15.0289
2.87245,9.46097,9.28571,12.482,12.9826,13.8358,13.9237,14.6171,14.7584,15.0882
2.89456,9.51673,9.34546,12.6788,13.0255,13.9371,14.1396,14.8773,15.0093,15.3848
2.9034,9.53903,9.36936,12.7575,13.0426,13.9777,14.2259,14.9814,15.1097,15.5034
2.91224,9.56134,9.39326,12.8362,13.0598,14.0056,14.3123,15.077,15.21,15.6221
2.92551,9.5948,9.4291,12.9543,13.0855,14.0474,14.4035,15.2204,15.3606,15.8
2.93878,9.62825,9.46495,13.0724,13.0855,14.0892,14.4948,15.3638,15.5112,15.978
2.94762,9.65304,9.48885,13.1511,13.0855,14.0669,14.5556,15.4594,15.6115,16.0967
2.96088,9.69021,9.52469,13.2692,13.0855,14.0335,14.6468,15.6028,15.7621,16.2466
2.96531,9.7026,9.53664,13.3086,13.0716,14.0223,14.658,15.6506,15.8109,16.2966
2.97857,9.73978,9.57249,13.436,13.0297,13.9888,14.6914,15.7342,15.9572,16.4466
