x,RT,40deg,60deg,65deg,67deg,69deg,72deg,75deg,80deg
1.82575,1.61366,1.61366,1.87567,2.90534,2.93911,2.91969,2.93504,2.90604,2.90729
1.82803,1.61277,1.61277,1.87441,2.91013,2.93981,2.92262,2.93706,2.90747,2.90929
1.84811,1.60495,1.60495,1.87441,2.9522,2.946,2.94838,2.95484,2.92003,2.92682
1.86824,1.59711,1.59711,1.87441,2.99438,2.9522,2.9742,2.97266,2.93262,2.94439
1.87048,1.59624,1.59624,1.87441,2.99906,2.9556,2.97707,2.97464,2.93402,2.94634
1.89285,1.58753,1.58753,1.87441,2.99906,2.98955,3.00576,2.99444,2.948,2.96587
1.89956,1.58491,1.58491,1.87441,3.01469,2.99975,3.01437,3.00038,2.9522,2.97173
1.91297,1.57969,1.57969,1.87441,3.04592,3.02011,3.03158,3.01226,2.97531,2.98344
1.92416,1.57533,1.57533,1.87441,3.04592,3.03709,3.04592,3.02216,2.99457,2.9932
1.92645,1.57444,1.57444,1.87441,3.04592,3.04057,3.04935,3.02419,2.99851,2.9952
1.93087,1.57272,1.57272,1.87652,3.04592,3.04728,3.05597,3.0281,3.00612,2.99906
1.93534,1.57098,1.57098,1.87865,3.04592,3.05407,3.06266,3.03206,3.01382,3.00413
1.951,1.56488,1.56488,1.8861,3.04592,3.07784,3.08609,3.04592,3.04079,3.02186
1.95771,1.56227,1.56227,1.8893,3.04592,3.08803,3.09613,3.05975,3.05234,3.02946
1.98007,1.55356,1.55356,1.89995,3.09278,3.12199,3.1296,3.10584,3.09086,3.05479
2.00244,1.54485,1.54485,1.9106,3.13964,3.15594,3.16308,3.15194,3.12937,3.08012
2.01363,1.5405,1.5405,1.91592,3.16308,3.17293,3.17982,3.17499,3.14864,3.09278
2.02257,1.53701,1.53701,1.92018,3.18182,3.1865,3.1932,3.19342,3.16404,3.11408
2.02481,1.53614,1.53614,1.92125,3.1865,3.19292,3.19655,3.19803,3.16789,3.1194
2.02486,1.53612,1.53612,1.92127,3.18664,3.19309,3.19663,3.19814,3.16798,3.11954
2.04493,1.5283,1.5283,1.9413,3.23336,3.2507,3.22667,3.23951,3.20255,3.16733
2.06283,1.52134,1.52134,1.95915,3.27086,3.30206,3.25345,3.27639,3.23336,3.20993
2.0673,1.5196,1.5196,1.96361,3.28022,3.31489,3.26014,3.2856,3.24607,3.22058
2.08072,1.51437,1.51437,1.977,3.30834,3.35341,3.28022,3.31326,3.2842,3.25253
2.08743,1.51176,1.51176,1.9837,3.3224,3.37267,3.3033,3.32709,3.30325,3.2685
2.08967,1.51089,1.51089,1.98593,3.32709,3.37909,3.311,3.33425,3.30961,3.27383
2.10979,1.50305,1.50305,2.00601,3.42081,3.43686,3.38023,3.39867,3.36679,3.32175
2.11203,1.50218,1.50218,2.00824,3.4255,3.44329,3.38794,3.40585,3.37316,3.32709
2.1188,1.49954,1.49954,2.015,3.43968,3.46272,3.41123,3.42752,3.39239,3.34821
2.11882,1.49953,1.49953,2.015,3.43973,3.46278,3.41131,3.42759,3.39245,3.34828
2.13216,1.4716,1.4716,2.015,3.46767,3.50105,3.45717,3.47027,3.43033,3.38989
2.14117,1.45272,1.45272,2.015,3.50543,3.52692,3.48818,3.49912,3.45594,3.41801
2.14119,1.45267,1.45267,2.01505,3.50554,3.52699,3.48826,3.4992,3.45601,3.41809
2.15452,1.45267,1.45267,2.04297,3.56139,3.56524,3.53411,3.54186,3.49387,3.45968
2.16353,1.45267,1.45267,2.06186,3.58237,3.59111,3.56512,3.57071,3.51948,3.48781
2.16356,1.45267,1.45267,2.06191,3.58244,3.59119,3.56521,3.5708,3.51955,3.48789
2.17465,1.45267,1.45267,2.08514,3.60825,3.62301,3.60335,3.60629,3.55105,3.52249
2.18583,1.45267,1.45267,2.10857,3.65511,3.65511,3.64182,3.64209,3.58282,3.55739
2.1859,1.45267,1.45267,2.10872,3.6554,3.65541,3.64205,3.64231,3.58302,3.5576
2.18593,1.45267,1.45267,2.10872,3.65552,3.65553,3.64216,3.6424,3.5831,3.55769
2.19478,1.45267,1.45267,2.10872,3.69261,3.69391,3.6726,3.67074,3.60825,3.58531
2.19701,1.45267,1.45267,2.10872,3.70197,3.70358,3.68028,3.67788,3.61799,3.59228
2.20827,1.45267,1.45267,2.10872,3.72555,3.75238,3.719,3.71391,3.66713,3.6274
2.2083,1.45267,1.45267,2.10878,3.72561,3.75251,3.7191,3.71401,3.66726,3.62749
2.21715,1.45267,1.45267,2.12938,3.74415,3.79087,3.74954,3.74233,3.70588,3.65511
2.21938,1.45267,1.45267,2.13458,3.74883,3.80055,3.75722,3.74948,3.71563,3.66402
2.2284,1.45267,1.45267,2.15558,3.79082,3.83964,3.78825,3.77835,3.755,3.70001
2.23056,1.45267,1.45267,2.15558,3.8009,3.84902,3.79569,3.78527,3.76444,3.70865
2.23066,1.45267,1.45267,2.15558,3.80138,3.84948,3.7962,3.78561,3.7649,3.70907
2.2395,1.45267,1.45267,2.15558,3.84255,3.8878,3.83956,3.81391,3.80349,3.74435
2.24845,1.45267,1.45267,2.15558,3.88004,3.92659,3.88344,3.84255,3.84255,3.78006
2.25076,1.45267,1.45267,2.15558,3.88973,3.93662,3.89478,3.8548,3.85264,3.78929
2.25303,1.45267,1.45267,2.16033,3.89924,3.94645,3.9059,3.86682,3.86254,3.79834
2.26187,1.45267,1.45267,2.17884,3.93627,3.98476,3.94923,3.91364,3.90112,3.83361
2.27313,1.45267,1.45267,2.20244,3.98871,4.03358,4.00446,3.97332,3.95028,3.87855
2.27316,1.45267,1.45267,2.20251,3.98887,4.03372,4.00463,3.97349,3.95043,3.87869
2.28199,1.45267,1.45267,2.22101,4.02999,4.07201,4.04794,4.02029,3.98898,3.91393
2.29549,1.45267,1.45267,2.2493,4.08657,4.13054,4.11415,4.09183,4.04791,3.96782
2.29553,1.45267,1.45267,2.24937,4.08672,4.13069,4.11432,4.09202,4.04807,3.96796
2.30212,1.45267,1.45267,2.26319,4.11435,4.15928,4.14666,4.12695,4.07685,3.99427
2.30436,1.45267,1.45267,2.26787,4.12371,4.16896,4.15762,4.1388,4.09002,4.00319
2.31107,1.45267,1.45267,2.28194,4.17062,4.19807,4.19055,4.17438,4.1296,4.02999
2.31554,1.45267,1.45267,2.29129,4.20181,4.21743,4.21245,4.19804,4.15591,4.05461
2.31786,1.45267,1.45267,2.29616,4.21803,4.23447,4.22384,4.21034,4.1696,4.06742
2.3179,1.45267,1.45267,2.29625,4.2183,4.23475,4.22402,4.21054,4.16982,4.06763
2.32448,1.45267,1.45267,2.31157,4.26429,4.28304,4.25631,4.24544,4.20863,4.10394
2.33566,1.45267,1.45267,2.33761,4.31115,4.36506,4.31115,4.30469,4.27453,4.1656
2.33799,1.45267,1.45267,2.34302,4.3209,4.38211,4.3209,4.31701,4.28824,4.17842
2.34027,1.45267,1.45267,2.34779,4.33044,4.39881,4.33044,4.32907,4.30165,4.19098
2.34685,1.43889,1.43889,2.36157,4.35801,4.44708,4.35801,4.36394,4.34044,4.22727
2.36035,1.41059,1.41059,2.38988,4.45238,4.54616,4.45486,4.43552,4.42005,4.30176
2.36263,1.40581,1.40581,2.39466,4.46831,4.56289,4.47121,4.44761,4.43349,4.31434
2.36697,1.40581,1.40581,2.40374,4.49859,4.59469,4.50229,4.47058,4.45905,4.33824
2.37368,1.40581,1.40581,2.4178,4.52672,4.64391,4.5504,4.50614,4.49859,4.37525
2.38272,1.40581,1.40581,2.43674,4.5646,4.71021,4.61521,4.55404,4.53303,4.42509
2.385,1.40581,1.40581,2.44152,4.57416,4.72696,4.63158,4.56613,4.54173,4.43768
2.38933,1.40581,1.40581,2.4506,4.59231,4.75872,4.66263,4.58908,4.55823,4.46157
2.39828,1.40581,1.40581,2.46934,4.67566,4.82435,4.72677,4.63649,4.59231,4.51091
2.40498,1.40581,1.40581,2.48337,4.73805,4.87348,4.77479,4.67198,4.64186,4.54784
2.40509,1.40581,1.40581,2.4836,4.73904,4.87439,4.77556,4.67255,4.64265,4.54843
2.40737,1.40581,1.40581,2.48892,4.76033,4.89387,4.79194,4.68466,4.65955,4.56103
2.40946,1.40581,1.40581,2.49377,4.77976,4.91165,4.80689,4.69571,4.67497,4.57253
2.42521,1.40581,1.40581,2.53046,4.84579,5.04599,4.91987,4.77921,4.79153,4.65943
2.42974,1.40581,1.40581,2.53994,4.86475,5.08456,4.9523,4.80318,4.82499,4.68438
2.43181,1.40581,1.40581,2.54429,4.87346,5.10227,4.9672,4.81419,4.84036,4.69583
2.43182,1.40581,1.40581,2.5443,4.87348,5.10231,4.96724,4.81421,4.84039,4.69586
2.43854,1.40581,1.40581,2.55837,4.9204,5.15957,5.03465,4.84981,4.89007,4.7329
2.443,1.40581,1.40581,2.56773,4.9516,5.19765,5.07949,4.87348,4.92311,4.77035
2.44758,1.40581,1.40581,2.57732,4.98357,5.23667,5.12542,4.91492,4.95696,4.80871
2.44987,1.40581,1.40581,2.58691,4.99956,5.25618,5.1484,4.93565,4.97389,4.8279
2.45194,1.40581,1.40581,2.59561,5.01406,5.27387,5.16923,4.95445,4.98924,4.8453
2.46994,1.40581,1.40581,2.67104,5.18172,5.42732,5.34988,5.11745,5.12237,4.99619
2.47207,1.40581,1.40581,2.67598,5.2015,5.44543,5.3712,5.13668,5.13808,5.01399
2.47224,1.40581,1.40581,2.67638,5.20308,5.44687,5.3729,5.13822,5.13934,5.01541
2.49007,1.40581,1.36845,2.7179,5.36922,5.59893,5.55191,5.29974,5.27126,5.16493
2.49219,1.40581,1.36401,2.72677,5.38894,5.61698,5.57317,5.31891,5.28692,5.18268
2.49461,1.40581,1.35895,2.7369,5.4092,5.63758,5.59742,5.3408,5.30479,5.20294
2.49908,1.40581,1.31213,2.75564,5.44669,5.6757,5.6423,5.38129,5.33787,5.24043
2.50803,1.40891,1.21837,2.79317,5.52176,5.75205,5.73219,5.4624,5.40411,5.3155
2.51232,1.4104,1.28253,2.81113,5.55768,5.78858,5.7752,5.5012,5.4358,5.35142
2.51243,1.41044,1.28429,2.81162,5.55867,5.78958,5.77637,5.50226,5.43709,5.35241
2.51455,1.41117,1.31593,2.81605,5.57638,5.8076,5.79758,5.5214,5.46022,5.37012
2.52368,1.41433,1.45267,2.83518,5.64815,5.88544,5.88924,5.6041,5.56021,5.44667
2.53244,1.41736,1.45267,2.85353,5.71696,5.96009,5.97712,5.6834,5.65609,5.52008
2.5348,1.41818,1.45267,2.85848,5.7445,5.98025,6.00086,5.70481,5.68198,5.5399
2.5369,1.41891,1.45267,2.86824,5.76891,5.99813,6.0219,5.72379,5.70493,5.55747
2.54381,1.4213,1.45267,2.90044,5.84942,6.08706,6.09129,5.78641,5.78063,5.61543
2.55033,1.42356,1.45267,2.93081,5.92536,6.17094,6.15675,5.84547,5.85204,5.6701
2.55256,1.42433,1.45267,2.94116,5.95127,6.19955,6.17907,5.86561,5.87639,5.69162
2.55493,1.42515,1.45267,2.9522,5.97335,6.23005,6.20287,5.88708,5.90235,5.71455
2.56618,1.42905,1.45267,2.99935,6.07815,6.37477,6.31579,5.98897,6.02554,5.82339
2.57268,1.4313,1.45267,3.0266,6.13871,6.45839,6.38104,6.04784,6.09672,5.88627
2.57729,1.43289,1.45267,3.04592,6.19913,6.51772,6.42733,6.08961,6.14722,5.93089
2.58854,1.43679,1.45267,3.09833,6.34659,6.66249,6.54029,6.19154,6.27046,6.03976
2.59055,1.43749,1.45267,3.10768,6.3729,6.68832,6.56045,6.20972,6.29245,6.05919
2.59056,1.43749,1.45267,3.10772,6.37301,6.68843,6.56057,6.2098,6.29254,6.05927
2.59742,1.43986,1.45267,3.13964,6.43047,6.77661,6.65757,6.27188,6.36759,6.12558
2.61091,1.44454,1.45267,3.1962,6.54361,6.95021,6.84854,6.3941,6.51537,6.25613
2.61292,1.44523,1.45267,3.20462,6.56045,6.97604,6.87696,6.41229,6.53736,6.27556
2.61978,1.44761,1.45267,3.23336,6.6683,7.06427,6.97402,6.47441,6.61246,6.34191
2.62411,1.44911,1.45267,3.26359,6.73633,7.11993,7.03524,6.51359,6.65984,6.38377
2.6308,1.45143,1.45267,3.31036,6.84161,7.20605,7.12999,6.60992,6.73315,6.44854
2.63328,1.45228,1.45267,3.32767,6.87732,7.23793,7.16505,6.64557,6.76028,6.47251
2.63526,1.45297,1.45267,3.34148,6.90581,7.26336,7.19302,6.67401,6.78193,6.49163
2.63753,1.45375,1.45267,3.35734,6.93854,7.2963,7.22515,6.70667,6.80679,6.51359
